,Date,DstDomain,DstUser,LogonTypeName,AttemptedLogons,MAX_TimeGenerated [UTC],MIN_TimeGenerated [UTC],SuccessfulLogons,FailedLogons,ComputerDomainsAccessed,DistinctAuthenticationPackage,ComputersAccessed,DistinctSrcIp,DistinctSrcHostName,ComputersSuccessfulAccess,ComputerDomainsSuccessfulAccess,SrcIpSuccessfulAccess,SrcHostNameSuccessfulAccess,ActiveMilliseconds,FailedLogons_mean,SuccessfulLogons_mean,ComputersSuccessfulAccess_mean,SrcIpSuccessfulAccess_mean,FailedLogons_std,SuccessfulLogons_std,ComputersSuccessfulAccess_std,SrcIpSuccessfulAccess_std,FailedLogons_zscore,SuccessfulLogons_zscore,ComputersSuccessfulAccess_zscore,SrcIpSuccessfulAccess_zscore,anomaly,score
0,9/19/2022,CONTOSO,ACC-01,3 - Network,238,"9/19/2022, 11:29:46.297 PM","9/19/2022, 12:17:46.373 AM",238,0,1,1,2,1,1,2,1,1,1,83519924,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
1,9/24/2022,CONTOSO,ACC-01,3 - Network,111,"9/24/2022, 9:58:13.253 AM","9/24/2022, 12:00:42.307 AM",111,0,1,1,2,1,1,2,1,1,1,35850946,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
2,9/23/2022,CONTOSO,ACC-01,3 - Network,253,"9/23/2022, 11:47:53.827 PM","9/23/2022, 12:00:44.773 AM",253,0,1,1,2,1,1,2,1,1,1,85629054,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.01784814032485308,0.0,0.0,1,-0.33433643823187276
3,9/18/2022,CONTOSO,ACC-01,3 - Network,227,"9/18/2022, 11:44:46.407 PM","9/18/2022, 12:48:30.043 AM",227,0,1,1,2,1,1,2,1,1,1,82576364,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
4,9/11/2022,CONTOSO,ACC-01,3 - Network,227,"9/11/2022, 11:25:59.437 PM","9/11/2022, 12:18:42.917 AM",227,0,1,1,2,1,1,2,1,1,1,83236520,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
5,9/6/2022,CONTOSO,ACC-01,3 - Network,20,"9/6/2022, 6:23:36.923 PM","9/6/2022, 1:07:35.663 PM",20,0,1,1,7,1,1,7,1,1,1,18961260,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.669476219569699,0.0,1,-0.09617984387692335
6,9/26/2022,CONTOSO,ACC-01,3 - Network,1,"9/26/2022, 12:10:03.863 PM","9/26/2022, 12:10:03.863 PM",1,0,1,1,1,1,1,1,1,1,1,0,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
7,9/14/2022,CONTOSO,ACC-01,3 - Network,1,"9/14/2022, 12:28:22.620 AM","9/14/2022, 12:28:22.620 AM",1,0,1,1,1,1,1,1,1,1,1,0,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
8,9/13/2022,CONTOSO,ACC-01,3 - Network,4,"9/13/2022, 7:45:46.250 PM","9/13/2022, 7:42:05.493 PM",4,0,1,1,1,1,1,1,1,1,1,220757,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
9,9/21/2022,CONTOSO,ACC-01,3 - Network,1,"9/21/2022, 1:32:41.577 PM","9/21/2022, 1:32:41.577 PM",1,0,1,1,1,1,1,1,1,1,1,0,0.0,245.85185185185185,2.3333333333333335,2.5185185185185186,0.0,170.3845658646941,1.270977818604485,1.6259995829872294,0.0,0.0,0.0,0.0,1,-0.37218636438900016
